wl,n
0.654994,0
0.656574,0
0.658154,0
0.659734,0
0.661315,0
0.662895,0
0.664475,0
0.666055,0
0.667635,0
0.669214,0
0.670794,0
0.672374,0
0.673954,0
0.675534,0
0.677113,0
0.678693,0
0.680273,0
0.681852,0
0.683432,0
0.685011,0
0.686590,0
0.688170,0
0.689749,0
0.691328,0
0.692907,0
0.694487,0
0.696066,0
0.697645,0
0.699224,0
0.700803,0
0.702381,0
0.703960,0
0.705539,0
0.707118,0
0.708696,0
0.710275,0
0.711854,0
0.713432,0
0.715010,0
0.716589,0
0.718167,0
0.719745,0
0.721324,0
0.722902,0
0.724480,0
0.726058,0
0.727636,0
0.729214,0
0.730792,0
0.732369,0
0.733947,0
0.735525,0
0.737102,0
0.738680,0
0.740257,0
0.741835,0
0.743412,0
0.744989,0
0.746566,0
0.748144,0
0.749721,0
0.751298,0
0.752875,0
0.754451,0
0.756028,0
0.757605,0
0.759182,0
0.760758,0
0.762335,0
0.763911,0
0.765488,0
0.767064,0
0.768640,0
0.770216,0
0.771792,0
0.773368,0
0.774944,0
0.776520,0
0.778096,0
0.779672,0
0.781247,0
0.782823,0
0.784398,0
0.785974,0
0.787549,0
0.789124,0
0.790700,0
0.792275,0
0.793850,0
0.795425,0
0.797000,0
0.798574,0
0.800149,0
0.801724,0
0.803298,0
0.804873,0
0.806447,0
0.808021,0
0.809596,0
0.811170,0
0.812744,0
0.814318,0
0.815891,0
0.817465,0
0.819039,0
0.820613,0
0.822186,0
0.823760,0
0.825333,0
0.826906,0
0.828479,0
0.830052,0
0.831625,0
0.833198,0
0.834771,0
0.836344,0
0.837916,0
0.839489,0
0.841061,0
0.842634,0
0.844206,0
0.845778,0
0.847350,0
0.848922,0
0.850494,0
0.852066,0
0.853638,0
0.855209,0
0.856781,0
0.858352,0
0.859923,0
0.861495,0
0.863066,0
0.864637,0
0.866208,0
0.867778,0
0.869349,0
0.870920,0
0.872490,0
0.874061,0
0.875631,0
0.877201,0
0.878771,0
0.880341,0
0.881911,0
0.883481,0
0.885050,0
0.886620,0
0.888189,0
0.889759,0
0.891328,0
0.892897,0
0.894466,0
0.896035,0
0.897604,0
0.899173,0
0.900741,0
0.902310,0
0.903878,0
0.905446,0
0.907014,0
0.908583,0
0.910151,0
0.911718,0
0.913286,0
0.914854,0
0.916421,0
0.917988,0
0.919556,0
0.921123,0
0.922690,0
0.924257,0
0.925823,0
0.927390,0
0.928957,0
0.930523,0
0.932089,0
0.933656,0
0.935222,0
0.936788,0
0.938354,0
0.939919,0
0.941485,0
0.943050,0
0.944616,0
0.946181,0
0.947746,0
0.949311,0
0.950876,0
0.952441,0
0.954005,0
0.955570,0
0.957134,0
0.958698,0
0.960262,0
0.961826,0
0.963390,0
0.964954,0
0.966517,0
0.968081,0
0.969644,0
0.971207,0
0.972771,0
0.974333,0
0.975896,0
0.977459,0
0.979021,0
0.980584,0
0.982146,0
0.983708,0
0.985270,0
0.986832,0
0.988394,0
0.989956,0
0.991517,0
0.993078,0
0.994640,0
0.996201,0
0.997762,0
0.999322,0
1.011346,0
1.014711,0
1.018076,0
1.021442,0
1.024809,0
1.028176,0
1.031544,0
1.034912,0
1.038281,0
1.041651,0
1.045021,0
1.048392,0
1.051764,0
1.055136,0
1.058509,0
1.061883,0
1.065257,0
1.068631,0
1.072007,0
1.075383,0
1.078760,0
1.082137,0
1.085515,0
1.088893,0
1.092272,0
1.095652,0
1.099032,0
1.102414,0
1.105795,0
1.109177,0
1.112560,0
1.115944,0
1.119328,0
1.122713,0
1.126099,0
1.129485,0
1.132871,0
1.136259,0
1.139647,0
1.143035,0
1.146425,0
1.149814,0
1.153205,0
1.156596,0
1.159988,0
1.163380,0
1.166773,0
1.170167,0
1.173561,0
1.176956,0
1.180352,0
1.183748,0
1.187145,0
1.190542,0
1.193940,0
1.197339,0
1.200738,0
1.204138,0
1.207539,0
1.210940,0
1.214342,0
1.217744,0
1.221147,0
1.224551,0
1.227955,0
1.231360,0
1.234766,0
1.238172,0
1.241579,0
1.244987,0
1.248395,0
1.251804,0
1.255213,0
1.258623,0
1.262034,0
1.265445,0
1.268857,0
1.272270,0
1.275683,0
1.279097,0
1.282511,0
1.285926,0
1.289342,0
1.292758,0
1.296175,0
1.299593,0
1.303011,0
1.306430,0
1.309849,0
1.313269,0
1.316690,0
1.320112,0
1.323534,0
1.326956,0
1.330380,0
1.333803,0
1.337228,0
1.340653,0
1.344079,0
1.347505,0
1.350932,0
1.354360,0
1.357788,0
1.361217,0
1.364647,0
1.368077,0
1.371508,0
1.374939,0
1.378372,0
1.381804,0
1.385238,0
1.388672,0
1.392106,0
1.395542,0
1.398977,0
1.402414,0
1.405851,0
1.409289,0
1.412727,0
1.416166,0
1.419606,0
1.423046,0
1.426487,0
1.429929,0
1.433371,0
1.436814,0
1.440257,0
1.443701,0
1.447146,0
1.450591,0
1.454037,0
